,Logistic classify L2,MIC,Corr.,RF,Stability,Logistic classify L1,RFE,Mean
numbackpktpersec,0.27,0.6,0.01,0.16,0.02,0.02,0.96,0.29
numbytepersec,0.01,0.63,0,0.11,0,0,0.96,0.24
numforpktpersec,0.13,0.33,0,0.11,0.01,0.01,0.9,0.21
numpktpersec,0.17,0.63,0.01,0.14,0.01,0.02,0.95,0.28
pr,0.23,0.34,0,0.01,0.02,0.01,0.59,0.17
splt_0_0,0.27,0.06,0,0.02,0.03,0.05,0.63,0.15
splt_0_1,0.09,0.02,0,0,0.01,0.01,0.54,0.1
splt_0_10,0.32,0.12,0.01,0.02,0.13,0.11,0.68,0.2
splt_0_11,0.14,0.09,0,0.02,0.07,0.09,0.59,0.14
splt_0_12,0.48,0.05,0.14,0.01,0.21,0.17,0.55,0.23
splt_0_13,0.01,0.01,0,0,0,0,0.5,0.07
splt_0_14,0.02,0.01,0,0,0,0,0.48,0.07
splt_0_15,0.01,0,0,0,0,0,0.16,0.02
splt_0_16,0.02,0,0,0,0,0,0.15,0.02
splt_0_17,0.01,0,0,0,0,0,0.1,0.02
splt_0_18,0.03,0.01,0.01,0.01,0,0.01,0.54,0.09
splt_0_19,0.17,0.04,0,0.01,0,0.1,0.53,0.12
splt_0_2,0.01,0.02,0.01,0,0,0,0.5,0.08
splt_0_3,0.02,0.02,0.05,0,0,0,0.12,0.03
splt_0_4,0.01,0,0,0,0,0,0.11,0.02
splt_0_5,0.01,0.02,0.02,0,0,0,0.08,0.02
splt_0_6,0.01,0.01,0,0,0,0,0.14,0.02
splt_0_7,0,0,0,0,0,0,0.08,0.01
splt_0_8,0.02,0.01,0,0,0,0,0.41,0.06
splt_0_9,0.02,0.01,0.02,0,0,0,0.49,0.08
splt_10_0,0.37,0.07,0.01,0.04,0.06,0.06,0.82,0.2
splt_10_1,0.16,0.03,0.01,0.01,0.02,0.03,0.54,0.11
splt_10_10,0.53,0.04,0.01,0.02,0.11,0.14,0.56,0.2
splt_10_11,0.05,0.02,0,0.02,0,0.01,0.57,0.1
splt_10_12,0.02,0.01,0,0,0,0,0.08,0.02
splt_10_13,0.02,0.01,0,0,0,0,0.09,0.02
splt_10_14,0.01,0,0,0,0,0,0.06,0.01
splt_10_15,0.01,0.01,0,0,0,0,0.05,0.01
splt_10_16,0.02,0,0,0,0,0,0.09,0.02
splt_10_17,0.01,0,0,0,0,0,0.07,0.01
splt_10_18,0.04,0.01,0,0.01,0.01,0.02,0.46,0.08
splt_10_19,0.05,0.01,0.01,0,0,0,0.11,0.03
splt_10_2,0.22,0.04,0.02,0,0.04,0.05,0.56,0.13
splt_10_3,0.19,0.07,0,0.01,0.02,0.05,0.58,0.13
splt_10_4,0.02,0.01,0,0,0,0.01,0.04,0.01
